"## Filename : qalingo-common-wording",,,,,,,,,,,,,,
"## PrefixKey : common",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,
"## Qalingo - {Q} Project",,,,,,,,,,,,,,
"## Internationalisation - """"XXLANGUAGE_CODEXX"""" - Common Messages",,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Prefix","Key","en","fr","de","es","it","nl","pt","jp","zh_CN","zh_HK","zh_SG","zh_TW","vi_VN"
"feedback","error.form.email.empty","Email is mandatory","L'email est obligatoire","Email wird angefordert","Email es necesario","È richiesto Email","E-mail is verplicht","O email é obrigatório","メールが必要です","电子邮件是必备的","電子郵件是必備的","電子郵件是必備的","電子郵件是必備的","Email là bắt buộc",
"feedback","error.form.email.is.not.valid","Email is not valid","L'email n'est pas valide","Die E-Mail ist ungültig","El correo electrónico no es válido","L'e-mail non è valido","De e-mail is ongeldig","O e-mail não é válido","電子メールは無効です","电邮无效","電郵無效","電郵無效","電郵無效","Email không hợp lệ",
"feedback","error.form.subject.empty","Subject is mandatoy","Le sujet est obligatoire","Das Thema ist obligatorisch","La asignatura es obligatoria","Il soggetto è obbligatoria","Het onderwerp is verplicht","O assunto é obrigatório","対象は必須です","主题是必備的","主題是必備的","主題是必備的","主題是必備的","Chủ đề là bắt buộc",
"feedback","error.form.message.empty","Comment is mandatory","Le commentaire est obligatoire","Comment is mandatory","Comment is mandatory","Comment is mandatory","Comment is mandatory","Comment is mandatory","Comment is mandatory","Comment is mandatory","Comment is mandatory","Comment is mandatory","Comment is mandatory","Comment is mandatory",
,,,,,,,,,,,,,,,
"## -- Catalog --",,,,,,,,,,,,,,
"catalog","products","Products","Produits","Products","Products","Products","Products","Products","Products","Products","Products","Products","Products","Products"
"catalog","brands","Brands","Marques","Brands","Brands","Brands","Brands","Brands","Brands","Brands","Brands","Brands","Brands","Brands"
,,,,,,,,,,,,,,
"## -- Store --",,,,,,,,,,,,,,
"store","stores","Stores","Stores","Stores","Stores","Stores","Stores","Stores","Stores","Stores","Stores","Stores","Stores","Stores"
,,,,,,,,,,,,,,
"## -- Geoloc --",,,,,,,,,,,,,,
"geoloc","latitude.label","latitude","latitude","Breite","latitud","latitudine","breedte","latitude","緯度","纬度","緯度","緯度","緯度","Vĩ độ"
"geoloc","longitude.label","longitude","longitude","Länge","longitud","longitudine","lengte","longitude","経度","经度","經度","經度","經度","Kinh độ"
,,,,,,,,,,,,,,
"## -- Error --",,,,,,,,,,,,,,
"error","code.500",500,500,500,500,500,500,500,500,500,500,500,500,500
"error","header.500",500,500,500,500,500,500,500,500,500,500,500,500,500
"error","message.500","Error 500","Erreur 500","Error 500","Error 500","Error 500","Error 500","Error 500","Error 500","Error 500","Error 500","Error 500","Error 500","Lỗi 500"
"error","code.400",400,400,400,400,400,400,400,400,400,400,400,400,400
"error","header.400",400,400,400,400,400,400,400,400,400,400,400,400,400
"error","message.400","Error 400","Erreur 400","Error 400","Error 400","Error 400","Error 400","Error 400","Error 400","Error 400","Error 400","Error 400","Error 400","Lỗi 400"
"error","code.403",403,403,403,403,403,403,403,403,403,403,403,403,403
"error","header.403",403,403,403,403,403,403,403,403,403,403,403,403,403
"error","message.403","Error 403","Erreur 403","Error 403","Error 403","Error 403","Error 403","Error 403","Error 403","Error 403","Error 403","Error 403","Error 403","Lỗi 403"
"error","code.404",404,404,404,404,404,404,404,404,404,404,404,404,404
"error","header.404",404,404,404,404,404,404,404,404,404,404,404,404,404
"error","message.404","Error 404","Erreur 404","Error 404","Error 404","Error 404","Error 404","Error 404","Error 404","Error 404","Error 404","Error 404","Error 404","Lỗi 404"
"error","go.back.to.home","Go back to main page","Retour sur la page d&#39;accueil","Zurück zur Hauptseite","Volver a la página principal","Torna alla pagina principale","Ga terug naar hoofdpagina","Volte para a página principal","バックメインページに戻る","回到主页","回到主頁","回到主页","回到主頁","Quay trở lại trang chính"
,,,,,,,,,,,,,,
